date,market-cap,trade-volume,hash-rate,cost-per-transaction,transaction-fees,n-unique-addresses,n-transactions,n-transactions-excluding-popular,estimated-transaction-volume
1246752000,0.0,0.0,3.97682157037037e-06,0.0,0.0,80.0,80.0,80.0,0.0
1246838400,0.0,0.0,4.523634536296296e-06,0.0,0.0,91.0,91.0,91.0,0.0
1246924800,0.0,0.0,3.1317469866666666e-06,0.0,0.0,63.0,63.0,63.0,0.0
1247011200,0.0,0.0,3.9271113007407404e-06,0.0,0.0,79.0,79.0,79.0,0.0
1247097600,0.0,0.0,4.02653184e-06,0.0,0.0,81.0,81.0,81.0,0.0
1247184000,0.0,0.0,4.07624210962963e-06,0.0,0.0,82.0,82.0,82.0,0.0
1247270400,0.0,0.0,4.175662648888889e-06,0.0,0.0,84.0,84.0,84.0,0.0
1247356800,0.0,0.0,3.7779804918518514e-06,0.0,0.0,76.0,76.0,76.0,0.0
1247443200,0.0,0.0,3.7779804918518514e-06,0.0,0.0,76.0,76.0,76.0,0.0
1247529600,0.0,0.0,3.579139413333334e-06,0.0,0.0,72.0,72.0,72.0,0.0
1247616000,0.0,0.0,2.286672402962963e-06,0.0,0.0,46.0,46.0,46.0,0.0
1247702400,0.0,0.0,3.4300086044444446e-06,0.0,0.0,69.0,69.0,69.0,0.0
1247788800,0.0,0.0,3.231167525925926e-06,0.0,0.0,65.0,65.0,65.0,0.0
1247875200,0.0,0.0,1.4913080888888887e-07,0.0,0.0,3.0,3.0,3.0,0.0
1247961600,0.0,0.0,2.5849340207407402e-06,0.0,0.0,52.0,52.0,52.0,0.0
1248048000,0.0,0.0,3.728270222222222e-06,0.0,0.0,75.0,75.0,75.0,0.0
1248134400,0.0,0.0,3.6785599525925925e-06,0.0,0.14,76.0,75.0,75.0,6000.0
1248220800,0.0,0.0,3.4300086044444446e-06,0.0,0.0,69.0,69.0,69.0,0.0
1248307200,0.0,0.0,3.2808777955555556e-06,0.0,0.0,66.0,66.0,66.0,0.0
1248393600,0.0,0.0,3.728270222222222e-06,0.0,0.0,75.0,75.0,75.0,0.0
1248480000,0.0,0.0,2.6346442903703703e-06,0.0,0.0,53.0,53.0,53.0,0.0
1248566400,0.0,0.0,6.462335051851851e-07,0.0,0.0,13.0,13.0,13.0,0.0
1248652800,0.0,0.0,3.1814572562962963e-06,0.0,0.0,64.0,64.0,64.0,0.0
1248739200,0.0,0.0,2.1872518637037037e-06,0.0,0.0,44.0,44.0,44.0,0.0
1248825600,0.0,0.0,1.5907286281481481e-06,0.0,0.0,32.0,32.0,32.0,0.0
1248912000,0.0,0.0,6.959437748148148e-07,0.0,0.0,17.0,16.0,16.0,105.0
1248998400,0.0,0.0,5.965232355555555e-07,0.0,0.0,12.0,12.0,12.0,0.0
1249084800,0.0,0.0,1.1433362014814815e-06,0.0,0.0,23.0,23.0,23.0,0.0
1249171200,0.0,0.0,1.491308088888889e-06,0.0,0.0,30.0,30.0,30.0,0.0
1249257600,0.0,0.0,7.456540444444445e-07,0.0,0.0,15.0,15.0,15.0,0.0
1249344000,0.0,0.0,2.883195638518519e-06,0.0,0.0,58.0,58.0,58.0,0.0
1249430400,0.0,0.0,4.523634536296296e-06,0.0,0.0,91.0,91.0,91.0,0.0
1249516800,0.0,0.0,4.772185884444444e-06,0.0,0.0,96.0,96.0,96.0,0.0
1249603200,0.0,0.0,3.6785599525925925e-06,0.0,0.0,74.0,74.0,74.0,0.0
1249689600,0.0,0.0,4.07624210962963e-06,0.0,0.13,84.0,83.0,83.0,5500.0
1249776000,0.0,0.0,4.871606423703704e-06,0.0,0.0,98.0,98.0,98.0,0.0
1249862400,0.0,0.0,4.07624210962963e-06,0.0,0.0,82.0,82.0,82.0,0.0
1249948800,0.0,0.0,3.3305880651851844e-06,0.0,0.0,67.0,67.0,67.0,0.0
1250035200,0.0,0.0,3.3802983348148145e-06,0.0,0.0,68.0,68.0,68.0,0.0
1250121600,0.0,0.0,4.02653184e-06,0.0,0.0,81.0,81.0,81.0,0.0
1250208000,0.0,0.0,3.231167525925926e-06,0.0,0.0,65.0,65.0,65.0,0.0
1250294400,0.0,0.0,1.6901491674074073e-06,0.0,0.0,34.0,34.0,34.0,0.0
1250380800,0.0,0.0,1.2427567407407407e-06,0.0,0.0,25.0,25.0,25.0,0.0
1250467200,0.0,0.0,8.450745837037036e-07,0.0,0.0,17.0,17.0,17.0,0.0
1250553600,0.0,0.0,4.4739242666666675e-07,0.0,0.0,9.0,9.0,9.0,0.0
1250640000,0.0,0.0,7.456540444444445e-07,0.0,0.0,15.0,15.0,15.0,0.0
1250726400,0.0,0.0,1.193046471111111e-06,0.0,0.0,24.0,24.0,24.0,0.0
1250812800,0.0,0.0,7.953643140740741e-07,0.0,0.0,16.0,16.0,16.0,0.0
1250899200,0.0,0.0,3.9768215703703703e-07,0.0,0.0,8.0,8.0,8.0,0.0
1250985600,0.0,0.0,5.965232355555555e-07,0.0,0.0,12.0,12.0,12.0,0.0
1251072000,0.0,0.0,3.9768215703703703e-07,0.0,0.0,8.0,8.0,8.0,0.0
1251158400,0.0,0.0,2.7340648296296292e-06,0.0,0.0,55.0,55.0,55.0,0.0
1251244800,0.0,0.0,2.0878313244444444e-06,0.0,0.0,42.0,42.0,42.0,0.0
1251331200,0.0,0.0,1.491308088888889e-06,0.0,0.0,34.0,33.0,33.0,2300.0
1251417600,0.0,0.0,3.1814572562962963e-06,0.0,0.0,64.0,64.0,64.0,0.0
1251504000,0.0,0.0,4.125952379259259e-06,0.0,0.0,83.0,83.0,83.0,0.0
1251590400,0.0,0.0,4.473924266666667e-06,0.0,0.0,91.0,91.0,91.0,50.0
